"Step","efficient-firefly-187 - logistic_regression_accuracy","efficient-firefly-187 - logistic_regression_accuracy__MIN","efficient-firefly-187 - logistic_regression_accuracy__MAX"
"2","0.1934375","0.1934375","0.1934375"
"5","0.19296875","0.19296875","0.19296875"
"8","0.18984375","0.18984375","0.18984375"
"11","0.180625","0.180625","0.180625"
"14","0.168125","0.168125","0.168125"
"17","0.15375","0.15375","0.15375"
"20","0.16265625","0.16265625","0.16265625"
"23","0.18484375","0.18484375","0.18484375"
"26","0.21625","0.21625","0.21625"
"29","0.255","0.255","0.255"
"32","0.3115625","0.3115625","0.3115625"
"35","0.39609375","0.39609375","0.39609375"
"38","0.49921875","0.49921875","0.49921875"
"41","0.555","0.555","0.555"
"44","0.58421875","0.58421875","0.58421875"
"47","0.61984375","0.61984375","0.61984375"
"51","0.65125","0.65125","0.65125"
"54","0.66875","0.66875","0.66875"
"57","0.68703125","0.68703125","0.68703125"
"60","0.71","0.71","0.71"
"63","0.718125","0.718125","0.718125"
"66","0.7221875","0.7221875","0.7221875"
"69","0.72875","0.72875","0.72875"
"72","0.73046875","0.73046875","0.73046875"
"75","0.72421875","0.72421875","0.72421875"
"78","0.74609375","0.74609375","0.74609375"
"81","0.73671875","0.73671875","0.73671875"
"84","0.74359375","0.74359375","0.74359375"
"87","0.75140625","0.75140625","0.75140625"
"90","0.7484375","0.7484375","0.7484375"
"93","0.7525","0.7525","0.7525"
"96","0.75640625","0.75640625","0.75640625"
"100","0.74625","0.74625","0.74625"
"103","0.7615625","0.7615625","0.7615625"
"106","0.76640625","0.76640625","0.76640625"
"109","0.76578125","0.76578125","0.76578125"
"112","0.769375","0.769375","0.769375"
"115","0.7465625","0.7465625","0.7465625"
"118","0.74421875","0.74421875","0.74421875"
"121","0.75734375","0.75734375","0.75734375"
"124","0.76375","0.76375","0.76375"
"127","0.76828125","0.76828125","0.76828125"
"130","0.76375","0.76375","0.76375"
"133","0.77234375","0.77234375","0.77234375"
"136","0.7828125","0.7828125","0.7828125"
"139","0.7675","0.7675","0.7675"
"142","0.769375","0.769375","0.769375"
"145","0.7728125","0.7728125","0.7728125"
