"Step","firm-deluge-186 - logistic_regression_accuracy","firm-deluge-186 - logistic_regression_accuracy__MIN","firm-deluge-186 - logistic_regression_accuracy__MAX"
"2","0.80625","0.80625","0.80625"
"5","0.80796875","0.80796875","0.80796875"
"8","0.8103125","0.8103125","0.8103125"
"11","0.8128125","0.8128125","0.8128125"
"14","0.81609375","0.81609375","0.81609375"
"17","0.81875","0.81875","0.81875"
"20","0.8278125","0.8278125","0.8278125"
"23","0.835625","0.835625","0.835625"
"26","0.84109375","0.84109375","0.84109375"
"29","0.84046875","0.84046875","0.84046875"
"32","0.839375","0.839375","0.839375"
"35","0.83796875","0.83796875","0.83796875"
"38","0.83515625","0.83515625","0.83515625"
"41","0.83390625","0.83390625","0.83390625"
"44","0.83171875","0.83171875","0.83171875"
"47","0.830625","0.830625","0.830625"
"51","0.826875","0.826875","0.826875"
"54","0.82703125","0.82703125","0.82703125"
"57","0.8296875","0.8296875","0.8296875"
"60","0.83265625","0.83265625","0.83265625"
"63","0.83375","0.83375","0.83375"
"66","0.8334375","0.8334375","0.8334375"
"69","0.8353125","0.8353125","0.8353125"
"72","0.8359375","0.8359375","0.8359375"
"75","0.8371875","0.8371875","0.8371875"
"78","0.8390625","0.8390625","0.8390625"
"81","0.83828125","0.83828125","0.83828125"
"84","0.834375","0.834375","0.834375"
"87","0.83046875","0.83046875","0.83046875"
"90","0.829375","0.829375","0.829375"
"93","0.830625","0.830625","0.830625"
"96","0.83265625","0.83265625","0.83265625"
"100","0.8325","0.8325","0.8325"
"103","0.83515625","0.83515625","0.83515625"
"106","0.838125","0.838125","0.838125"
"109","0.84203125","0.84203125","0.84203125"
"112","0.8428125","0.8428125","0.8428125"
"115","0.845","0.845","0.845"
"118","0.846875","0.846875","0.846875"
"121","0.84765625","0.84765625","0.84765625"
"124","0.84875","0.84875","0.84875"
"127","0.84875","0.84875","0.84875"
"130","0.84828125","0.84828125","0.84828125"
"133","0.8528125","0.8528125","0.8528125"
"136","0.85328125","0.85328125","0.85328125"
"139","0.8528125","0.8528125","0.8528125"
"142","0.85125","0.85125","0.85125"
"145","0.85203125","0.85203125","0.85203125"
