"Step","dazzling-breeze-183 - logistic_regression_accuracy","dazzling-breeze-183 - logistic_regression_accuracy__MIN","dazzling-breeze-183 - logistic_regression_accuracy__MAX"
"2","0.21703125","0.21703125","0.21703125"
"5","0.21296875","0.21296875","0.21296875"
"8","0.21140625","0.21140625","0.21140625"
"11","0.20875","0.20875","0.20875"
"14","0.22515625","0.22515625","0.22515625"
"17","0.26125","0.26125","0.26125"
"20","0.323125","0.323125","0.323125"
"23","0.40078125","0.40078125","0.40078125"
"26","0.48703125","0.48703125","0.48703125"
"29","0.585","0.585","0.585"
"32","0.6709375","0.6709375","0.6709375"
"35","0.72453125","0.72453125","0.72453125"
"38","0.75140625","0.75140625","0.75140625"
"41","0.7640625","0.7640625","0.7640625"
"44","0.77875","0.77875","0.77875"
"47","0.79203125","0.79203125","0.79203125"
"51","0.80125","0.80125","0.80125"
"54","0.8040625","0.8040625","0.8040625"
"57","0.80171875","0.80171875","0.80171875"
"60","0.81015625","0.81015625","0.81015625"
"63","0.82484375","0.82484375","0.82484375"
"66","0.82984375","0.82984375","0.82984375"
"69","0.8353125","0.8353125","0.8353125"
"72","0.844375","0.844375","0.844375"
"75","0.84578125","0.84578125","0.84578125"
"78","0.8496875","0.8496875","0.8496875"
"81","0.85890625","0.85890625","0.85890625"
"84","0.86046875","0.86046875","0.86046875"
"87","0.85921875","0.85921875","0.85921875"
"90","0.865","0.865","0.865"
"93","0.87234375","0.87234375","0.87234375"
"96","0.87328125","0.87328125","0.87328125"
"100","0.87984375","0.87984375","0.87984375"
"103","0.88703125","0.88703125","0.88703125"
"106","0.88703125","0.88703125","0.88703125"
"109","0.8903125","0.8903125","0.8903125"
"112","0.89328125","0.89328125","0.89328125"
"115","0.8934375","0.8934375","0.8934375"
"118","0.8965625","0.8965625","0.8965625"
"121","0.8996875","0.8996875","0.8996875"
"124","0.8959375","0.8959375","0.8959375"
"127","0.8915625","0.8915625","0.8915625"
"130","0.89421875","0.89421875","0.89421875"
"133","0.90328125","0.90328125","0.90328125"
"136","0.9015625","0.9015625","0.9015625"
"139","0.90125","0.90125","0.90125"
"142","0.90921875","0.90921875","0.90921875"
"145","0.90515625","0.90515625","0.90515625"
